uf,valor_repassado,beneficiarios,municipios_com_registro,municipios_coletados,cobertura
AC,89675065.0,122895.0,22,22,22
AL,341958483.0,492655.0,102,102,102
AM,436258433.0,592289.0,62,62,62
AP,81121849.0,111293.0,16,16,16
BA,1536380307.0,2288534.0,417,417,417
CE,893784958.0,1327720.0,184,184,184
DF,104593768.0,149889.0,1,1,1
ES,183941691.0,269945.0,78,78,78
GO,297026855.0,434629.0,246,246,246
MA,804942497.0,1141739.0,217,217,217
MG,937684117.0,1392423.0,853,853,853
MS,124792193.0,178429.0,79,79,79
MT,147595836.0,211024.0,142,142,142
PA,875655588.0,1236747.0,144,144,144
PB,417951569.0,617004.0,223,223,223
PE,986159610.0,1458491.0,185,185,185
PI,369424136.0,545080.0,224,224,224
PR,359205535.0,531661.0,399,399,399
RJ,936887558.0,1379010.0,92,92,92
RN,310191200.0,462691.0,167,167,167
RO,84115010.0,122311.0,52,52,52
RR,54211207.0,72304.0,15,15,15
RS,349353331.0,514314.0,497,497,497
SC,134515167.0,196951.0,295,295,295
SE,236182740.0,350350.0,75,75,75
SP,1453948716.0,2135084.0,645,645,645
TO,98338389.0,140543.0,139,139,139
