uf,trends_composto,rendimento_pnad,bf_per_capita,bf_familias_por_100hab,trends__apostas online,trends__bet,trends__jogo do tigrinho
AC,0.701,3045,101.4,13.896,44.0,100.0,91.0
AL,0.308,2656,106.17,15.296,41.0,60.0,58.0
AM,0.53,2790,100.948,13.705,38.0,92.0,72.0
AP,0.781,3490,100.583,13.799,77.0,83.0,94.0
BA,0.369,2445,103.314,15.389,35.0,62.0,72.0
CE,0.292,2524,96.429,14.325,37.0,49.0,68.0
DF,0.043,6400,34.901,5.001,28.0,38.0,40.0
ES,0.212,3613,44.572,6.541,25.0,47.0,65.0
GO,0.262,3798,40.011,5.855,31.0,54.0,63.0
MA,0.557,2217,114.693,16.268,58.0,75.0,76.0
MG,0.237,3465,43.83,6.509,35.0,43.0,65.0
MS,0.333,3830,42.669,6.101,39.0,43.0,79.0
MT,0.307,4023,37.907,5.42,35.0,55.0,67.0
PA,0.608,2677,100.521,14.197,46.0,69.0,100.0
PB,0.351,2765,100.361,14.816,53.0,60.0,56.0
PE,0.501,2836,103.133,15.253,81.0,71.0,51.0
PI,0.423,2681,109.15,16.105,48.0,60.0,73.0
PR,0.328,4230,30.209,4.471,28.0,35.0,94.0
RJ,0.236,4327,54.396,8.007,31.0,60.0,53.0
RN,0.23,2948,89.774,13.391,40.0,54.0,50.0
RO,0.372,3621,48.012,6.981,30.0,58.0,80.0
RR,0.31,3403,73.38,9.787,31.0,57.0,69.0
RS,0.207,4095,31.1,4.578,33.0,33.0,70.0
SC,0.172,4315,16.43,2.406,30.0,32.0,67.0
SE,0.56,2989,102.714,15.236,100.0,67.0,50.0
SP,0.198,4466,31.551,4.633,29.0,45.0,61.0
TO,0.39,3416,61.97,8.857,33.0,67.0,73.0
