codigo_ibge,uf,mes_ano,status,valor,beneficiarios,coletado_em
1100015,RO,202512,ok,1023078.0,1477.0,2026-09-20T15:49:30.775612+00:00
1100023,RO,202512,ok,4843979.0,7004.0,2026-09-20T15:49:32.942781+00:00
1100031,RO,202512,ok,224434.0,321.0,2026-09-20T15:49:35.048008+00:00
1100049,RO,202512,ok,3648594.0,5400.0,2026-09-20T15:49:37.157441+00:00
1100056,RO,202512,ok,755319.0,1084.0,2026-09-20T15:49:39.260821+00:00
1100064,RO,202512,ok,277913.0,408.0,2026-09-20T15:49:41.363912+00:00
1100072,RO,202512,ok,173522.0,252.0,2026-09-20T15:49:43.468673+00:00
1100080,RO,202512,ok,1281628.0,1812.0,2026-09-20T15:49:45.601246+00:00
1100098,RO,202512,ok,752957.0,1183.0,2026-09-20T15:49:49.674602+00:00
1100106,RO,202512,ok,3741890.0,4884.0,2026-09-20T15:49:51.823205+00:00
1100114,RO,202512,ok,2001659.0,3088.0,2026-09-20T15:49:53.966841+00:00
1100122,RO,202512,ok,4894943.0,7095.0,2026-09-20T15:49:56.073885+00:00
1100130,RO,202512,ok,1542387.0,2299.0,2026-09-20T15:49:58.179135+00:00
1100148,RO,202512,ok,837470.0,1303.0,2026-09-20T15:50:00.301112+00:00
1100155,RO,202512,ok,1480590.0,2237.0,2026-09-20T15:50:02.405081+00:00
1100189,RO,202512,ok,714886.0,1060.0,2026-09-20T15:50:04.518513+00:00
1100205,RO,202512,ok,32591471.0,47138.0,2026-09-20T15:50:06.628774+00:00
1100254,RO,202512,ok,1062944.0,1624.0,2026-09-20T15:50:08.731382+00:00
1100262,RO,202512,ok,121944.0,186.0,2026-09-20T15:50:10.845770+00:00
1100288,RO,202512,ok,1243980.0,1872.0,2026-09-20T15:50:12.961648+00:00
1100296,RO,202512,ok,327663.0,502.0,2026-09-20T15:52:08.304392+00:00
1100304,RO,202512,ok,2883037.0,4305.0,2026-09-20T15:52:09.907065+00:00
1100320,RO,202512,ok,669670.0,1000.0,2026-09-20T15:52:11.509943+00:00
1100338,RO,202512,ok,1799501.0,2467.0,2026-09-20T15:52:13.114318+00:00
1100346,RO,202512,ok,796058.0,1186.0,2026-09-20T15:52:14.723027+00:00
1100379,RO,202512,ok,232828.0,360.0,2026-09-20T15:52:16.334254+00:00
1100403,RO,202512,ok,786162.0,1139.0,2026-09-20T15:52:17.951264+00:00
1100452,RO,202512,ok,1214654.0,1765.0,2026-09-20T15:52:19.562374+00:00
1100502,RO,202512,ok,288677.0,438.0,2026-09-20T15:52:21.199226+00:00
1100601,RO,202512,ok,182396.0,276.0,2026-09-20T15:52:22.804486+00:00
1100700,RO,202512,ok,312964.0,466.0,2026-09-20T15:52:24.415273+00:00
1100809,RO,202512,ok,2413120.0,3497.0,2026-09-20T15:52:26.022260+00:00
1100908,RO,202512,ok,137321.0,200.0,2026-09-20T15:52:27.630165+00:00
1100924,RO,202512,ok,606494.0,854.0,2026-09-20T15:52:29.236312+00:00
1100940,RO,202512,ok,891914.0,1238.0,2026-09-20T15:52:30.840227+00:00
1101005,RO,202512,ok,485998.0,769.0,2026-09-20T15:52:32.450340+00:00
1101104,RO,202512,ok,541747.0,771.0,2026-09-20T15:52:34.057321+00:00
1101203,RO,202512,ok,429139.0,617.0,2026-09-20T15:52:35.674771+00:00
1101302,RO,202512,ok,449709.0,689.0,2026-09-20T15:52:39.248804+00:00
1101401,RO,202512,ok,852294.0,1243.0,2026-09-20T15:52:40.857978+00:00
1101435,RO,202512,ok,435519.0,644.0,2026-09-20T15:52:42.463884+00:00
1101450,RO,202512,ok,210182.0,322.0,2026-09-20T15:52:44.071323+00:00
1101468,RO,202512,ok,177396.0,253.0,2026-09-20T15:52:45.684386+00:00
1101476,RO,202512,ok,164709.0,250.0,2026-09-20T15:52:47.296889+00:00
1101484,RO,202512,ok,117453.0,182.0,2026-09-20T15:52:48.900636+00:00
1101492,RO,202512,ok,843918.0,1257.0,2026-09-20T15:52:50.509063+00:00
1101500,RO,202512,ok,525293.0,778.0,2026-09-20T15:52:52.139974+00:00
1101559,RO,202512,ok,238946.0,355.0,2026-09-20T15:52:53.747455+00:00
1101609,RO,202512,ok,307799.0,450.0,2026-09-20T15:52:55.352957+00:00
1101708,RO,202512,ok,611362.0,895.0,2026-09-20T15:52:56.958033+00:00
1101757,RO,202512,ok,672977.0,980.0,2026-09-20T15:52:58.562944+00:00
1101807,RO,202512,ok,292522.0,436.0,2026-09-20T15:53:00.159274+00:00
1200013,AC,202512,ok,1433559.0,2075.0,2026-09-20T15:53:01.769798+00:00
1200054,AC,202512,ok,1444487.0,1753.0,2026-09-20T15:53:03.375526+00:00
1200104,AC,202512,ok,3138362.0,4362.0,2026-09-20T15:53:04.979172+00:00
1200138,AC,202512,ok,1398298.0,1931.0,2026-09-20T15:53:06.632365+00:00
1200179,AC,202512,ok,1300236.0,1802.0,2026-09-20T15:53:08.249742+00:00
1200203,AC,202512,ok,10439675.0,14089.0,2026-09-20T15:53:09.854376+00:00
1200252,AC,202512,ok,1636103.0,2343.0,2026-09-20T15:53:13.428564+00:00
1200302,AC,202512,ok,4480209.0,5679.0,2026-09-20T15:53:15.032764+00:00
1200328,AC,202512,ok,1514097.0,1712.0,2026-09-20T15:53:16.641618+00:00
1200336,AC,202512,ok,3223589.0,4379.0,2026-09-20T15:53:18.248470+00:00
1200344,AC,202512,ok,1933906.0,2527.0,2026-09-20T15:53:19.866734+00:00
1200351,AC,202512,ok,2863608.0,3622.0,2026-09-20T15:53:21.476519+00:00
1200385,AC,202512,ok,1496363.0,2187.0,2026-09-20T15:53:23.109457+00:00
1200393,AC,202512,ok,1665913.0,2054.0,2026-09-20T15:53:24.725144+00:00
1200401,AC,202512,ok,28175704.0,40998.0,2026-09-20T15:53:26.342638+00:00
1200427,AC,202512,ok,2283517.0,3041.0,2026-09-20T15:53:27.949189+00:00
1200435,AC,202512,ok,1039355.0,1154.0,2026-09-20T15:53:29.572301+00:00
1200450,AC,202512,ok,2222984.0,3131.0,2026-09-20T15:53:31.186014+00:00
1200500,AC,202512,ok,6425793.0,8882.0,2026-09-20T15:53:32.794927+00:00
1200609,AC,202512,ok,6930455.0,8691.0,2026-09-20T15:53:34.406522+00:00
1200708,AC,202512,ok,1912825.0,2690.0,2026-09-20T15:53:36.011960+00:00
1200807,AC,202512,ok,2716027.0,3793.0,2026-09-20T15:53:37.638630+00:00
1300029,AM,202512,ok,2492584.0,3270.0,2026-09-20T15:53:39.251502+00:00
1300060,AM,202512,ok,2142938.0,2792.0,2026-09-20T15:53:40.861292+00:00
1300086,AM,202512,ok,1753544.0,2275.0,2026-09-20T15:53:42.490091+00:00
1300102,AM,202512,ok,2657885.0,3749.0,2026-09-20T15:53:44.109775+00:00
1300144,AM,202512,ok,1515714.0,2148.0,2026-09-20T15:53:47.691442+00:00
1300201,AM,202512,ok,1745403.0,2079.0,2026-09-20T15:53:49.310536+00:00
1300300,AM,202512,ok,10156713.0,14534.0,2026-09-20T15:53:50.915907+00:00
1300409,AM,202512,ok,2619622.0,3346.0,2026-09-20T15:53:52.528333+00:00
1300508,AM,202512,ok,4636736.0,5694.0,2026-09-20T15:53:54.154359+00:00
1300607,AM,202512,ok,5966671.0,7251.0,2026-09-20T15:53:55.802195+00:00
1300631,AM,202512,ok,3992316.0,5006.0,2026-09-20T15:53:57.415450+00:00
1300680,AM,202512,ok,2777021.0,3720.0,2026-09-20T15:53:59.030306+00:00
1300706,AM,202512,ok,4313287.0,5953.0,2026-09-20T15:54:00.635495+00:00
1300805,AM,202512,ok,4963291.0,6542.0,2026-09-20T15:54:02.300635+00:00
1300839,AM,202512,ok,1946295.0,2609.0,2026-09-20T15:54:03.912026+00:00
1300904,AM,202512,ok,2323693.0,3428.0,2026-09-20T15:54:05.523809+00:00
1301001,AM,202512,ok,4260534.0,5732.0,2026-09-20T15:54:07.140657+00:00
1301100,AM,202512,ok,3775992.0,5180.0,2026-09-20T15:54:08.781439+00:00
1301159,AM,202512,ok,2937235.0,4069.0,2026-09-20T15:54:10.411170+00:00
1301209,AM,202512,ok,11102652.0,14714.0,2026-09-20T15:54:12.027051+00:00
1301308,AM,202512,ok,2984066.0,3908.0,2026-09-20T15:54:13.644509+00:00
1301407,AM,202512,ok,4930691.0,6387.0,2026-09-20T15:54:15.257047+00:00
1301506,AM,202512,ok,2907165.0,3985.0,2026-09-20T15:54:16.869327+00:00
1301605,AM,202512,ok,4644666.0,6537.0,2026-09-20T15:54:18.488695+00:00
1301654,AM,202512,ok,2327173.0,3033.0,2026-09-20T15:54:22.057331+00:00
1301704,AM,202512,ok,7889507.0,11066.0,2026-09-20T15:54:23.663492+00:00
1301803,AM,202512,ok,3431316.0,4593.0,2026-09-20T15:54:25.297085+00:00
1301852,AM,202512,ok,9854165.0,13963.0,2026-09-20T15:54:26.900252+00:00
1301902,AM,202512,ok,11514119.0,15595.0,2026-09-20T15:54:28.583449+00:00
1301951,AM,202512,ok,1739870.0,2026.0,2026-09-20T15:54:30.199068+00:00
1302009,AM,202512,ok,1336227.0,1878.0,2026-09-20T15:54:31.798171+00:00
1302108,AM,202512,ok,1125798.0,1461.0,2026-09-20T15:54:33.410765+00:00
1302207,AM,202512,ok,1822989.0,2448.0,2026-09-20T15:54:35.014505+00:00
1302306,AM,202512,ok,3932855.0,4548.0,2026-09-20T15:54:36.618989+00:00
1302405,AM,202512,ok,8628080.0,12161.0,2026-09-20T15:54:38.222555+00:00
1302504,AM,202512,ok,14520487.0,19668.0,2026-09-20T15:54:39.854381+00:00
1302553,AM,202512,ok,2716733.0,3719.0,2026-09-20T15:54:41.465764+00:00
1302603,AM,202512,ok,161491717.0,228543.0,2026-09-20T15:54:43.098979+00:00
1302702,AM,202512,ok,6315616.0,8221.0,2026-09-20T15:54:44.764324+00:00
1302801,AM,202512,ok,2518420.0,3004.0,2026-09-20T15:54:46.382147+00:00
1302900,AM,202512,ok,10252236.0,13433.0,2026-09-20T15:54:47.998412+00:00
1303007,AM,202512,ok,3013584.0,4115.0,2026-09-20T15:54:49.609495+00:00
1303106,AM,202512,ok,4346510.0,5871.0,2026-09-20T15:54:51.232354+00:00
1303205,AM,202512,ok,1733520.0,2319.0,2026-09-20T15:54:52.844998+00:00
1303304,AM,202512,ok,2839002.0,3811.0,2026-09-20T15:54:56.447346+00:00
1303403,AM,202512,ok,15278417.0,20486.0,2026-09-20T15:54:58.050656+00:00
1303502,AM,202512,ok,2656927.0,3352.0,2026-09-20T15:54:59.660324+00:00
1303536,AM,202512,ok,3615414.0,5043.0,2026-09-20T15:55:01.273061+00:00
1303569,AM,202512,ok,2210372.0,3001.0,2026-09-20T15:55:02.883267+00:00
1303601,AM,202512,ok,2001771.0,2524.0,2026-09-20T15:55:04.592583+00:00
1303700,AM,202512,ok,3481793.0,3953.0,2026-09-20T15:55:06.205657+00:00
1303809,AM,202512,ok,6941898.0,8160.0,2026-09-20T15:55:07.813846+00:00
1303908,AM,202512,ok,6207986.0,7386.0,2026-09-20T15:55:09.438998+00:00
1303957,AM,202512,ok,1623378.0,2230.0,2026-09-20T15:55:11.061350+00:00
1304005,AM,202512,ok,1704070.0,2273.0,2026-09-20T15:55:12.670868+00:00
1304062,AM,202512,ok,8427630.0,10616.0,2026-09-20T15:55:14.272231+00:00
1304104,AM,202512,ok,3097982.0,4061.0,2026-09-20T15:55:15.888470+00:00
1304203,AM,202512,ok,10720786.0,13645.0,2026-09-20T15:55:17.498119+00:00
1304237,AM,202512,ok,3092215.0,3839.0,2026-09-20T15:55:19.132079+00:00
1304260,AM,202512,ok,2360414.0,3133.0,2026-09-20T15:55:20.797015+00:00
1304302,AM,202512,ok,2524956.0,3577.0,2026-09-20T15:55:22.394672+00:00
1304401,AM,202512,ok,3415786.0,4626.0,2026-09-20T15:55:24.001916+00:00
1400027,RR,202512,ok,1403683.0,1804.0,2026-09-20T15:55:25.687368+00:00
1400050,RR,202512,ok,1875549.0,2452.0,2026-09-20T15:55:27.312786+00:00
1400100,RR,202512,ok,24806870.0,34544.0,2026-09-20T15:55:30.938592+00:00
1400159,RR,202512,ok,2945178.0,3505.0,2026-09-20T15:55:32.547173+00:00
1400175,RR,202512,ok,2897013.0,3886.0,2026-09-20T15:55:34.159283+00:00
1400209,RR,202512,ok,2509283.0,3406.0,2026-09-20T15:55:35.772250+00:00
1400233,RR,202512,ok,1447904.0,1972.0,2026-09-20T15:55:37.376940+00:00
1400282,RR,202512,ok,870201.0,1227.0,2026-09-20T15:55:39.007667+00:00
1400308,RR,202512,ok,3014281.0,4249.0,2026-09-20T15:55:40.617728+00:00
1400407,RR,202512,ok,2460749.0,2771.0,2026-09-20T15:55:42.241040+00:00
1400456,RR,202512,ok,2987013.0,3708.0,2026-09-20T15:55:43.854195+00:00
1400472,RR,202512,ok,2770729.0,3843.0,2026-09-20T15:55:45.468583+00:00
1400506,RR,202512,ok,937784.0,1294.0,2026-09-20T15:55:47.076353+00:00
1400605,RR,202512,ok,1003171.0,1439.0,2026-09-20T15:55:48.688589+00:00
1400704,RR,202512,ok,2281799.0,2204.0,2026-09-20T15:55:50.299942+00:00
1500107,PA,202512,ok,25961215.0,38060.0,2026-09-20T15:55:51.902804+00:00
1500131,PA,202512,ok,929545.0,1330.0,2026-09-20T15:55:53.512037+00:00
1500206,PA,202512,ok,9450970.0,13136.0,2026-09-20T15:55:55.124215+00:00
1500305,PA,202512,ok,6742528.0,8250.0,2026-09-20T15:55:56.743216+00:00
1500347,PA,202512,ok,1696224.0,2447.0,2026-09-20T15:55:58.351576+00:00
1500404,PA,202512,ok,8836213.0,11793.0,2026-09-20T15:55:59.953951+00:00
1500503,PA,202512,ok,4442984.0,6048.0,2026-09-20T15:56:01.599499+00:00
1500602,PA,202512,ok,9189314.0,12738.0,2026-09-20T15:56:05.417341+00:00
1500701,PA,202512,ok,5113063.0,6088.0,2026-09-20T15:56:07.027840+00:00
1500800,PA,202512,ok,31202887.0,46777.0,2026-09-20T15:56:08.640385+00:00
1500859,PA,202512,ok,4228102.0,5765.0,2026-09-20T15:56:10.252810+00:00
1500909,PA,202512,ok,7358090.0,10363.0,2026-09-20T15:56:11.861654+00:00
1500958,PA,202512,ok,4070034.0,5788.0,2026-09-20T15:56:13.484160+00:00
1501006,PA,202512,ok,1981795.0,2621.0,2026-09-20T15:56:15.095447+00:00
1501105,PA,202512,ok,4736180.0,5925.0,2026-09-20T15:56:16.714796+00:00
1501204,PA,202512,ok,5613226.0,7969.0,2026-09-20T15:56:18.329925+00:00
1501253,PA,202512,ok,398844.0,583.0,2026-09-20T15:56:19.956003+00:00
1501303,PA,202512,ok,12223898.0,17466.0,2026-09-20T15:56:21.571677+00:00
1501402,PA,202512,ok,96942973.0,145543.0,2026-09-20T15:56:23.188301+00:00
1501451,PA,202512,ok,1879391.0,2546.0,2026-09-20T15:59:37.410018+00:00
1501501,PA,202512,ok,7247084.0,10745.0,2026-09-20T15:59:39.026875+00:00
1501576,PA,202512,ok,1631460.0,2274.0,2026-09-20T15:59:40.781897+00:00
1501600,PA,202512,ok,2031815.0,3051.0,2026-09-20T15:59:42.394983+00:00
1501709,PA,202512,ok,16567837.0,23803.0,2026-09-20T15:59:44.006397+00:00
1501725,PA,202512,ok,1937286.0,2819.0,2026-09-20T15:59:45.635271+00:00
1501758,PA,202512,ok,1022880.0,1431.0,2026-09-20T15:59:47.251272+00:00
1501782,PA,202512,ok,6042727.0,8518.0,2026-09-20T15:59:48.856391+00:00
1501808,PA,202512,ok,18706897.0,23787.0,2026-09-20T15:59:50.481934+00:00
1501907,PA,202512,ok,4286720.0,6066.0,2026-09-20T15:59:52.101389+00:00
1501956,PA,202512,ok,3034186.0,4276.0,2026-09-20T15:59:53.712891+00:00
1502004,PA,202512,ok,3640141.0,5187.0,2026-09-20T15:59:55.321825+00:00
1502103,PA,202512,ok,23002712.0,32489.0,2026-09-20T15:59:56.933441+00:00
1502152,PA,202512,ok,6667885.0,9423.0,2026-09-20T15:59:58.539654+00:00
1502202,PA,202512,ok,7554290.0,11170.0,2026-09-20T16:00:00.153100+00:00
1502301,PA,202512,ok,8567831.0,12546.0,2026-09-20T16:00:01.763811+00:00
1502400,PA,202512,ok,14277912.0,21339.0,2026-09-20T16:00:05.359287+00:00
1502509,PA,202512,ok,3510714.0,4394.0,2026-09-20T16:00:06.968197+00:00
1502608,PA,202512,ok,1833647.0,2676.0,2026-09-20T16:00:08.594402+00:00
1502707,PA,202512,ok,2594838.0,3683.0,2026-09-20T16:00:10.235305+00:00
1502756,PA,202512,ok,5113656.0,7193.0,2026-09-20T16:00:11.845146+00:00
1502764,PA,202512,ok,1180790.0,1634.0,2026-09-20T16:00:13.901723+00:00
1502772,PA,202512,ok,2295524.0,3176.0,2026-09-20T16:00:15.676772+00:00
1502806,PA,202512,ok,5706395.0,7307.0,2026-09-20T16:00:17.287149+00:00
1502855,PA,202512,ok,2069781.0,2763.0,2026-09-20T16:00:18.897457+00:00
1502905,PA,202512,ok,6928785.0,10133.0,2026-09-20T16:00:20.512923+00:00
1502939,PA,202512,ok,4016959.0,5772.0,2026-09-20T16:00:22.119521+00:00
1502954,PA,202512,ok,3008924.0,4128.0,2026-09-20T16:00:23.754042+00:00
1503002,PA,202512,ok,1528433.0,2147.0,2026-09-20T16:00:25.361446+00:00
1503044,PA,202512,ok,2219141.0,3097.0,2026-09-20T16:00:26.969596+00:00
1503077,PA,202512,ok,3711296.0,5260.0,2026-09-20T16:00:28.581967+00:00
1503093,PA,202512,ok,2534632.0,3711.0,2026-09-20T16:00:30.195205+00:00
1503101,PA,202512,ok,5323898.0,6767.0,2026-09-20T16:00:31.803587+00:00
1503200,PA,202512,ok,4590002.0,6760.0,2026-09-20T16:00:33.415212+00:00
1503309,PA,202512,ok,10145299.0,14069.0,2026-09-20T16:00:35.036108+00:00
1503408,PA,202512,ok,1263023.0,1849.0,2026-09-20T16:00:38.691811+00:00
1503457,PA,202512,ok,5321984.0,7485.0,2026-09-20T16:00:40.334172+00:00
1503507,PA,202512,ok,5064287.0,7393.0,2026-09-20T16:00:41.950054+00:00
1503606,PA,202512,ok,10730081.0,14681.0,2026-09-20T16:00:43.566699+00:00
1503705,PA,202512,ok,6334845.0,8809.0,2026-09-20T16:00:45.178138+00:00
1503754,PA,202512,ok,3340675.0,3726.0,2026-09-20T16:00:46.790948+00:00
1503804,PA,202512,ok,4504670.0,6552.0,2026-09-20T16:00:48.402812+00:00
1503903,PA,202512,ok,5715447.0,6872.0,2026-09-20T16:00:50.013799+00:00
1504000,PA,202512,ok,4521283.0,6302.0,2026-09-20T16:00:51.627037+00:00
1504059,PA,202512,ok,4733086.0,6822.0,2026-09-20T16:00:53.243597+00:00
1504109,PA,202512,ok,1007572.0,1475.0,2026-09-20T16:00:54.866938+00:00
1504208,PA,202512,ok,19350500.0,27131.0,2026-09-20T16:00:56.469099+00:00
1504307,PA,202512,ok,4689822.0,6723.0,2026-09-20T16:00:58.077031+00:00
1504406,PA,202512,ok,4136009.0,5979.0,2026-09-20T16:00:59.687226+00:00
1504422,PA,202512,ok,12744966.0,18936.0,2026-09-20T16:01:01.368959+00:00
1504455,PA,202512,ok,4088984.0,5621.0,2026-09-20T16:01:02.979544+00:00
1504505,PA,202512,ok,5149485.0,6244.0,2026-09-20T16:01:04.588844+00:00
1504604,PA,202512,ok,6256326.0,8760.0,2026-09-20T16:01:06.195233+00:00
1504703,PA,202512,ok,10933151.0,15523.0,2026-09-20T16:01:07.806390+00:00
1504752,PA,202512,ok,2637005.0,3662.0,2026-09-20T16:01:09.439552+00:00
1504802,PA,202512,ok,8297459.0,11649.0,2026-09-20T16:01:13.087405+00:00
1504901,PA,202512,ok,5417569.0,7373.0,2026-09-20T16:01:14.698742+00:00
1504950,PA,202512,ok,3546035.0,5085.0,2026-09-20T16:01:16.320124+00:00
1504976,PA,202512,ok,1378823.0,1894.0,2026-09-20T16:01:17.956830+00:00
1505007,PA,202512,ok,1631049.0,2412.0,2026-09-20T16:01:19.590861+00:00
1505031,PA,202512,ok,1993456.0,2763.0,2026-09-20T16:01:21.199483+00:00
1505064,PA,202512,ok,8091262.0,11281.0,2026-09-20T16:01:22.806087+00:00
1505106,PA,202512,ok,7126367.0,9579.0,2026-09-20T16:01:24.427303+00:00
1505205,PA,202512,ok,6792672.0,9094.0,2026-09-20T16:01:26.046064+00:00
1505304,PA,202512,ok,7917660.0,10479.0,2026-09-20T16:01:27.655728+00:00
1505403,PA,202512,ok,2706889.0,3975.0,2026-09-20T16:01:29.306665+00:00
1505437,PA,202512,ok,2927439.0,4110.0,2026-09-20T16:01:30.915198+00:00
1505486,PA,202512,ok,5836056.0,8022.0,2026-09-20T16:01:32.531955+00:00
1505494,PA,202512,ok,916594.0,1289.0,2026-09-20T16:01:34.141912+00:00
1505502,PA,202512,ok,7560564.0,10931.0,2026-09-20T16:01:35.752504+00:00
1505536,PA,202512,ok,14801284.0,21326.0,2026-09-20T16:01:37.397789+00:00
1505551,PA,202512,ok,976441.0,1428.0,2026-09-20T16:01:39.023153+00:00
1505601,PA,202512,ok,1045169.0,1557.0,2026-09-20T16:01:40.647922+00:00
1505635,PA,202512,ok,1269885.0,1805.0,2026-09-20T16:01:42.256818+00:00
1505650,PA,202512,ok,2483407.0,3506.0,2026-09-20T16:01:43.871198+00:00
1505700,PA,202512,ok,4793394.0,6791.0,2026-09-20T16:01:47.407812+00:00
1505809,PA,202512,ok,8923939.0,10652.0,2026-09-20T16:01:49.021463+00:00
1505908,PA,202512,ok,5187234.0,6868.0,2026-09-20T16:01:50.639255+00:00
1506005,PA,202512,ok,6612456.0,8826.0,2026-09-20T16:01:52.254556+00:00
1506104,PA,202512,ok,1604818.0,2361.0,2026-09-20T16:01:53.863814+00:00
1506112,PA,202512,ok,1685018.0,2484.0,2026-09-20T16:01:55.476758+00:00
1506138,PA,202512,ok,5458490.0,7960.0,2026-09-20T16:01:57.115614+00:00
1506161,PA,202512,ok,1541552.0,2253.0,2026-09-20T16:01:58.746792+00:00
1506187,PA,202512,ok,3326888.0,4792.0,2026-09-20T16:02:00.356127+00:00
1506195,PA,202512,ok,2835638.0,3928.0,2026-09-20T16:02:01.965823+00:00
1506203,PA,202512,ok,4389834.0,6306.0,2026-09-20T16:02:03.572634+00:00
1506302,PA,202512,ok,4216064.0,6125.0,2026-09-20T16:02:05.174983+00:00
1506351,PA,202512,ok,2246137.0,3288.0,2026-09-20T16:02:06.780656+00:00
1506401,PA,202512,ok,1188935.0,1711.0,2026-09-20T16:02:08.387267+00:00
1506500,PA,202512,ok,5750598.0,8482.0,2026-09-20T16:02:10.012807+00:00
1506559,PA,202512,ok,3348726.0,4837.0,2026-09-20T16:02:11.654167+00:00
1506583,PA,202512,ok,1489870.0,2213.0,2026-09-20T16:02:13.265778+00:00
1506609,PA,202512,ok,3025750.0,4426.0,2026-09-20T16:02:14.877700+00:00
1506708,PA,202512,ok,3898649.0,5426.0,2026-09-20T16:02:16.484548+00:00
1506807,PA,202512,ok,33034574.0,45134.0,2026-09-20T16:02:18.137200+00:00
1506906,PA,202512,ok,1215130.0,1760.0,2026-09-20T16:02:21.861085+00:00
1507003,PA,202512,ok,4184247.0,6094.0,2026-09-20T16:02:23.501743+00:00
1507102,PA,202512,ok,1933564.0,2786.0,2026-09-20T16:02:25.114077+00:00
1507151,PA,202512,ok,2697878.0,3799.0,2026-09-20T16:02:26.727436+00:00
1507201,PA,202512,ok,5198089.0,7301.0,2026-09-20T16:02:28.359454+00:00
1507300,PA,202512,ok,7138640.0,9879.0,2026-09-20T16:02:29.966937+00:00
1507409,PA,202512,ok,2112091.0,3202.0,2026-09-20T16:02:31.584975+00:00
1507458,PA,202512,ok,2867177.0,4082.0,2026-09-20T16:02:33.189972+00:00
1507466,PA,202512,ok,871878.0,1198.0,2026-09-20T16:02:34.796394+00:00
1507474,PA,202512,ok,3170680.0,4600.0,2026-09-20T16:02:36.404502+00:00
1507508,PA,202512,ok,1974955.0,2713.0,2026-09-20T16:02:38.021455+00:00
1507607,PA,202512,ok,5885510.0,8363.0,2026-09-20T16:02:39.644096+00:00
